rank	total	word
253	3	мистер и миссис
254	3	они попали в
255	3	по имени и
256	3	больше всего на
257	3	что с ними
258	3	что-то напевал себе
259	3	напевал себе под
260	3	что с ним
261	3	на углу улицы
262	3	не было и
263	3	друг с другом
264	3	некоторые из них
265	3	что-нибудь в этом
266	3	в этом роде
267	3	с места и
268	3	в мантиях и
269	3	не столкнулся с
270	3	и он не
271	3	чтобы его не
272	3	в часов вечера
273	3	был одет в
274	3	даже если бы
275	3	это совсем не
276	3	у нее была
277	3	что он даже
278	3	о чем не
279	3	он понял что
280	3	а потом на
281	3	делали вид что
282	3	вместо этого он
283	3	но как только
284	3	спросил себя не
285	3	сказал себе что
286	3	она даже не
287	3	в сторону а
288	3	а на его
289	3	на него с
290	3	ничто не могло
291	3	вид у нее
292	3	я в жизни
293	3	жизни не видел
294	3	то время как
295	3	не сомневаюсь что
296	3	в голосе профессора
297	3	в тот самый
298	3	я надеюсь что
299	3	только потому что
300	3	взад и вперед
301	3	несмотря на то
302	3	что это правда
303	3	не может быть
304	3	может быть я
305	3	протянул руку и
306	3	и у них
307	3	пришло в голову
308	3	в голову что
309	3	а когда они
310	3	когда они наконец
311	3	по меньшей мере
312	3	прежде чем они
313	3	вот и все
314	3	на другом конце
315	3	не зная что
316	3	он не знал
317	3	чтобы он не
318	3	в темном чулане
319	3	потому что ему
320	3	шрам на лбу
321	3	в это время
322	3	медленно выговорил он
323	3	у нее был
324	3	знал что ему
325	3	но это было
326	3	надеясь что его
327	3	был такой словно
328	3	он вовсе не
329	3	его в сторону
330	3	я предупреждаю тебя
331	3	тут ни при
332	3	выходить из чулана
333	3	того что его
334	3	что это его
335	3	не было такого
336	3	такой сильной что
337	3	из чулана и
338	3	чтобы убедиться что
339	3	никого не было
340	3	и не был
341	3	куда лучше чем
342	3	никто не понял
343	3	все что ему
344	3	думал о том
345	3	он и не
346	3	и не мог
347	3	не мог вспомнить
348	3	если не считать
349	3	не было в
350	3	так что она
351	3	не так уж
352	3	так уж много
353	3	который судя по
354	3	как у него
355	3	него не было
356	3	он держал в
357	3	было написано на
358	3	и увидел что
359	3	на свое место
360	3	не двинулся с
361	3	что мы не
362	3	и теперь он
363	3	на кровати и
364	3	не хочу чтобы
365	3	за то чтобы
366	3	он обращаясь к
367	3	и все это
368	3	это означало что
369	3	в том чтобы
370	3	и с ужасом
371	3	что на него
372	3	чтобы никто не
373	3	под нос и
374	3	к двери и
375	3	на улице было
376	3	не могло быть
377	3	вдобавок ко всему
378	3	в глубине души
379	3	что лежало в
380	3	в последний раз
381	3	у вас есть
382	3	никто не видел
383	3	что он там
384	3	я ж тебе
385	3	что это за
386	3	у был такой
387	3	в школу и
388	3	отмахнулся от него
389	3	а о том
390	3	ничего не знаешь
391	3	вид словно он
392	3	но ты же
393	3	мама и папа
394	3	казалось что он
395	3	с таким видом
396	3	таким видом словно
397	3	минут прежде чем
398	3	запустил руку в
399	3	с вами все
400	3	вами все в
401	3	его все еще
402	3	он никуда не
403	3	как ты его
404	3	что я волшебник
405	3	все эти годы
406	3	что ты будешь
407	3	кто он такой
408	3	ни за что
409	3	на темную сторону
410	3	не успел он
411	3	к стене и
412	3	он все еще
413	3	с ним был
414	3	вместо того чтобы
415	3	по школе и
416	3	я не думаю
417	3	с ним и
418	3	ему не удалось
419	3	повернулся к спиной
420	3	мне что я
421	3	но глаза его
422	3	упала на пол
423	3	и оказались на
424	3	растений и грибов
425	3	он когда они
426	3	когда они вошли
427	3	улыбались и махали
428	3	и махали руками
429	3	не могу поверить
430	3	упал на пол
431	3	хотя если по
432	3	она тут же
433	3	они стояли перед
434	3	у меня тут
435	3	я никогда не
436	3	все это время
437	3	что в этом
438	3	не могу понять
439	3	ты уже знаешь
440	3	вся моя семья
441	3	твои родители они
442	3	что такое квиддич
443	3	на метлах и
444	3	они стояли на
445	3	от пола до
446	3	пола до потолка
447	3	что даже не
448	3	даже не обратил
449	3	не обратил внимания
450	3	обратил внимания на
451	3	в школе на
452	3	и он никак
453	3	почувствовал как по
454	3	об этом говорить
455	3	с половиной дюймов
456	3	если бы я
457	3	дайте мне подумать
458	3	он вытащил из
459	3	поднять палочку как
460	3	не было ни
461	3	они оказались в
462	3	внимания на то
463	3	все же все
464	3	ничего не знаю
465	3	ту ночь когда
466	3	нельзя было назвать
467	3	как и все
468	3	по поводу того
469	3	поводу того что
470	3	номер и четверти
471	3	было все равно
472	3	и уже не
473	3	рядом с и
474	3	ничего не было
475	3	не представлял что
476	3	дело было в
477	3	никогда не слышал
478	3	даже не мог
479	3	к тому чтобы
480	3	чтобы попасть в
481	3	волшебную палочку и
482	3	понять как ему
483	3	ему это удалось
484	3	лицо его было
485	3	том что я
486	3	не знаю как
487	3	делая вид что
488	3	подумал что это
489	3	я бы хотел
490	3	у меня их
491	3	а я не
492	3	и никогда не
493	3	не знал о
494	3	и ничего не
495	3	о чем я
496	3	него никогда не
497	3	и он был
498	3	не видел и
499	3	бы если бы
500	3	у меня не
501	3	способов применения крови
502	3	применения крови дракона
503	3	и с удивлением
504	3	так что не
505	3	а может и
506	3	но ничего не
507	3	на твоем месте
508	3	что будет если
509	3	то я не
510	3	он смотрел на
511	3	показалось что он
512	3	сделал вид что
513	3	со своих мест
514	3	и как только
515	3	произнес обращаясь к
516	3	к а потом
517	3	у тебя все
518	3	за мной и
519	3	по случаю начала
520	3	в школе и
521	3	сказал что это
522	3	что это очень
523	3	и что же
524	3	вид что не
525	3	это на самом
526	3	к своему столу
527	3	за которым сидели
528	3	шаг вперед и
529	3	только сейчас понял
530	3	сейчас понял что
531	3	криками и аплодисментами
532	3	и не знал
533	3	на стол и
534	3	был не в
535	3	я чуть не
536	3	пронзила острая боль
537	3	ему совсем не
538	3	он был очень
539	3	что здесь происходит
540	3	с того самого
541	3	друг к другу
542	3	что это не
543	3	как и он
544	3	и то же
545	3	в больничное крыло
546	3	из замка и
547	3	никаких сомнений в
548	3	как раз вовремя
549	3	об заклад что
550	3	в самый последний
551	3	самый последний момент
552	3	у нее были
553	3	в разные стороны
554	3	в воздухе и
555	3	в его голосе
556	3	как только они
557	3	и это было
558	3	что ему надо
559	3	поднялся на ноги
560	3	было похоже что
561	3	уже через минут
562	3	бормоча себе под
563	3	закончил за него
564	3	соревнования между факультетами
565	3	кто из них
566	3	вернуться в башню
567	3	до конца коридора
568	3	чуть не упал
569	3	палец к губам
570	3	не было так
571	3	совершенно не представляя
572	3	и не смог
573	3	как ему удалось
574	3	что происходит в
575	3	были не в
576	3	в запретном коридоре
577	3	это то что
578	3	из школы и
579	3	если учесть что
580	3	а что это
581	3	показалось что сейчас
582	3	в небо а
583	3	небо а потом
584	3	не хотелось чтобы
585	3	поднялись в воздух
586	3	школы по квиддичу
587	3	знаю пожал плечами
588	3	через какое-то время
589	3	держал в руке
590	3	то что им
591	3	бы все равно
592	3	выйти на поле
593	3	что охраняет пес
594	3	к себе внимание
595	3	так и знала
596	3	но все равно
597	3	когда к нему
598	3	раз в тот
599	3	у нас есть
600	3	что ты здесь
601	3	а я то
602	3	по всему он
603	3	что это именно
604	3	ты в порядке
605	3	почему бы тебе
606	3	бы тебе не
607	3	если я не
608	3	то что от
609	3	тот день когда
610	3	похоже было что
611	3	сказать что это
612	3	с себя мантию
613	3	в субботу в
614	3	субботу в полночь
615	3	просто не могло
616	3	из спальни и
617	3	никто не разговаривал
618	3	я уверен что
619	3	что у тебя
620	3	сегодня очень яркий
621	3	хотите сказать что
622	3	в лесу а
623	3	не должен был
624	3	объявления результатов экзаменов
625	3	шагнул вперед и
626	3	на другой стороне
627	3	дверь на себя
628	3	на ту сторону
629	3	я присуждаю факультету
630	3	присуждаю факультету очков
631	2	никак нельзя было
632	2	что же касается
633	2	у нее было
634	2	они боялись что
635	2	даже представить себе
636	2	представить себе не
637	2	вот уже лет
638	2	вид что у
639	2	что у нее
640	2	нет никакой сестры
641	2	по всей стране
642	2	со счастливой улыбкой
643	2	из них не
644	2	не заметил как
645	2	в щеку и
646	2	сел в машину
647	2	мистер заметил что
648	2	в первую секунду
649	2	мистер даже не
650	2	не понял что
651	2	понял что именно
652	2	видно не было
653	2	на всякий случай
654	2	нет конечно же
655	2	равно как и
656	2	потряс головой и
657	2	глядя по сторонам
658	2	заметил что на
659	2	странно одетых людей
660	2	его взгляд упал
661	2	взгляд упал на
662	2	что некоторые из
663	2	сосредоточиться на дрелях
664	2	средь бела дня
665	2	это уже не
666	2	настроение у него
667	2	пор пока он
668	2	пока он не
669	2	них пока не
670	2	мог понять почему
671	2	и в этот
672	2	это именно так
673	2	он ощутил как
674	2	ощутил как на
675	2	не такая уж
676	2	и он даже
677	2	ведь никогда не
678	2	не видел этого
679	2	совсем ни к
680	2	более что она
681	2	если бы у
682	2	бы у него
683	2	у него была
684	2	эти люди в
685	2	люди в мантиях
686	2	то о чем
687	2	о чем они
688	2	он был настолько
689	2	был настолько взволнован
690	2	настолько взволнован что
691	2	секунд чтобы осознать
692	2	чтобы осознать что
693	2	потому что наконец
694	2	в этот самый
695	2	с этими словами
696	2	бы там ни
697	2	когда ему наконец
698	2	сдвинуться с места
699	2	с места он
700	2	к дому номер
701	2	он сразу заметил
702	2	это та самая
703	2	и те же
704	2	сидела на заборе
705	2	строго посмотрела на
706	2	подумал может быть
707	2	и пошел в
708	2	не будет ли
709	2	не знаю на
710	2	еще целая неделя
711	2	как он и
712	2	решил что не
713	2	как бы между
714	2	бы между прочим
715	2	наверх в спальню
716	2	это так и
717	2	и если выяснится
718	2	если выяснится что
719	2	была очень приятной
720	2	на улице к
721	2	и к ним
722	2	громко хлопнула дверь
723	2	из стороны в
724	2	стороны в сторону
725	2	а глаза ее
726	2	это не беспокоило
727	2	не смог бы
728	2	что вид у
729	2	мой дорогой профессор
730	2	как вы могли
731	2	по пути сюда
732	2	головой в сторону
733	2	что ж они
734	2	сомневаюсь что это
735	2	последние лет у
736	2	было слишком мало
737	2	люди ведут себя
738	2	словно надеясь что
739	2	в ответ но
740	2	маглы узнают о
741	2	узнают о нашем
742	2	о нашем существовании
743	2	вполне очевидно что
744	2	называть его по
745	2	его по имени
746	2	они не должны
747	2	не заметил на
748	2	да да конечно
749	2	все знают что
750	2	мне повезло что
751	2	знаете о чем
752	2	то что она
753	2	что она знает
754	2	я так не
755	2	в это верить
756	2	еще не все
757	2	все говорят что
758	2	говорят что он
759	2	что он пытался
760	2	но не смог
761	2	он не смог
762	2	не смог убить
763	2	не знает как
764	2	как такое могло
765	2	такое могло произойти
766	2	могло произойти но
767	2	но говорят что
768	2	и именно поэтому
769	2	именно поэтому он
770	2	что он сделал
771	2	никогда и не
772	2	достала из кармана
773	2	носовой платок и
774	2	достал из кармана
775	2	это были очень
776	2	были очень странные
777	2	у них было
778	2	в карман и
779	2	кстати я полагаю
780	2	сказал вам что
781	2	я полагаю вы
782	2	вскакивая на ноги
783	2	тыча пальцем в
784	2	я наблюдала за
785	2	и вы хотите
786	2	для него это
787	2	я не удивлюсь
788	2	не удивлюсь если
789	2	этого будет достаточно
790	2	будет достаточно для
791	2	достаточно для того
792	2	что именно его
793	2	лучше для него
794	2	чтобы сказать что-то
795	2	вы думаете это
796	2	что это там
797	2	вдвое выше обычного
798	2	похожий на молнию
799	2	не стал бы
800	2	а затем вдруг
801	2	да да все
802	2	все это очень
803	2	и пошел к
804	2	поднялся в небо
805	2	и исчез в
806	2	пошел вниз по
807	2	и вытащил из
808	2	и казалось что
809	2	уж никак не
810	2	не зная о
811	2	зная о том
812	2	том что стал
813	2	то время пока
814	2	том что с
815	2	что с тех
816	2	прошло немало времени
817	2	что в доме
818	2	он крепко спал
819	2	к его двери
820	2	и через мгновение
821	2	вздрогнул и проснулся
822	2	до него донесся
823	2	он летел по
824	2	он уже видел
825	2	тетя вернулась к
826	2	я хочу чтобы
827	2	день рождения и
828	2	как он мог
829	2	выбрался из постели
830	2	из постели и
831	2	он был совсем
832	2	был совсем не
833	2	чем был на
834	2	был на самом
835	2	у него с
836	2	с самого детства
837	2	не приставай ко
838	2	приставай ко мне
839	2	ко мне со
840	2	мне со своими
841	2	со своими вопросами
842	2	в кухню вошел
843	2	примерно раз в
844	2	потому что его
845	2	что его волосы
846	2	во все стороны
847	2	что похож на
848	2	про себя что
849	2	на столе тарелки
850	2	почти не было
851	2	чем в прошлом
852	2	он открыл рот
853	2	самолет с дистанционным
854	2	с дистанционным управлением
855	2	и вместе с
856	2	она сломала ногу
857	2	рукой в сторону
858	2	у нее в
859	2	и что теперь
860	2	что ему следует
861	2	непросто потому что
862	2	потому что теперь
863	2	не говори ерунды
864	2	так словно его
865	2	здесь не было
866	2	не было или
867	2	все равно не
868	2	мог понять что
869	2	что речь идет
870	2	такой словно она
871	2	никто не слушал
872	2	самом деле он
873	2	— я не
874	2	в перерывах между
875	2	вместе со своей
876	2	чтобы они не
877	2	на заднем сиденье
878	2	в своей жизни
879	2	и лицо его
880	2	проблема заключалась в
881	2	не спал всю
882	2	спал всю ночь
883	2	следующее утро он
884	2	он обнаружил что
885	2	и в конце
886	2	к счастью тетя
887	2	на крыше школьной
888	2	крыше школьной столовой
889	2	и его компания
890	2	какой-то момент он
891	2	и сам не
892	2	не понял как
893	2	жалел о том
894	2	что находится в
895	2	в школе не
896	2	на банк и
897	2	терпеть не могли
898	2	но еще больше
899	2	заметил что и
900	2	на том чтобы
901	2	прижался носом к
902	2	и стал смотреть
903	2	на освободившееся место
904	2	по всему дому
905	2	не было он
906	2	снова повернулся к
907	2	тут же перевел
908	2	же перевел взгляд
909	2	вы никогда не
910	2	это случилось в
911	2	прижавшись к стеклу
912	2	с криками ужаса
913	2	был в шоке
914	2	но когда они
915	2	что она пыталась
916	2	было то что
917	2	а разговаривал с
918	2	потом повернулся к
919	2	он был так
920	2	что ему удалось
921	2	лежа в темном
922	2	пожалел что у
923	2	у него нет
924	2	был уверен в
925	2	уверен в том
926	2	том что уже
927	2	он готов был
928	2	на кухню в
929	2	кухню в поисках
930	2	но только если
931	2	что прожил у
932	2	родители погибли в
933	2	погибли в автокатастрофе
934	2	того что он
935	2	он тоже был
936	2	перед его глазами
937	2	ослепительная вспышка зеленого
938	2	вспышка зеленого света
939	2	зеленого света и
940	2	боль во лбу
941	2	хотя он и
942	2	не мог объяснить
943	2	зеленый свет и
944	2	об этом но
945	2	когда они вместе
946	2	они вместе с
947	2	с тетей и
948	2	схватила его и
949	2	пожал ему руку
950	2	ему руку и
951	2	и ушел не
952	2	ни слова и
953	2	у не было
954	2	не было никого
955	2	друзей у него
956	2	у него тоже
957	2	тисовую улицу на
958	2	что она потеряла
959	2	она потеряла сознание
960	2	и и и
961	2	уж много времени
962	2	и наконец то
963	2	на из своих
964	2	в тот вечер
965	2	в его жизни
966	2	что никак не
967	2	никак не может
968	2	то что этот
969	2	он изо всех
970	2	нечто похожее на
971	2	снова заглянул в
972	2	она будет выглядеть
973	2	лучше не спорить
974	2	пошли за ней
975	2	да и кто
976	2	письмо и на
977	2	и на нем
978	2	нем стояло не
979	2	его имя но
980	2	изумрудно зелеными чернилами
981	2	дядя верной что
982	2	сел на свое
983	2	и начал изучать
984	2	вырвать у него
985	2	письмо но дядя
986	2	показалось что она
987	2	что она вот-вот
988	2	воздух с таким
989	2	с таким звуком
990	2	смотрели друг на
991	2	потому что не
992	2	на него не
993	2	я хочу прочитать
994	2	хочу прочитать письмо
995	2	за ним дверь
996	2	между полом и
997	2	они могли узнать
998	2	что нам делать
999	2	мы не хотим
1000	2	если они не
