rank	total	word
316	6	после того как мы
317	6	этого не может быть
318	6	они смотрели друг другу
319	6	он не сомневался что
320	6	на тот случай если
321	6	у меня не было
322	6	не знал что сказать
323	6	а что если он
324	6	я не сомневаюсь что
325	6	ты же не хочешь
326	6	не сказав больше ни
327	6	сказав больше ни слова
328	6	что все это значит
329	6	после того как ты
330	6	но по крайней мере
331	6	на самом деле он
332	6	раз в этот момент
333	6	а что это за
334	6	что-то в этом роде
335	6	с такой скоростью что
336	6	преподавателя защиты от темных
337	6	как бы то ни
338	6	тех самых пор как
339	6	ни о чем другом
340	6	рассеять туман над будущим
341	6	так оно и есть
342	6	магических игр и спорта
343	6	в глазах у него
344	6	на седьмом небе от
345	6	седьмом небе от счастья
346	6	было бы если бы
347	6	с тех пор он
348	6	в чародейства и волшебства
349	6	в тот вечер когда
350	6	что у него есть
351	6	вид у них был
352	6	думать о том что
353	6	руки на груди и
354	6	по случаю начала учебного
355	6	случаю начала учебного года
356	6	у него был такой
357	6	на душе у него
358	6	о том что они
359	6	бы если бы не
360	6	на него так словно
361	6	за ним по пятам
362	6	и он никак не
363	6	думая о том что
364	6	судя по всему он
365	6	не так уж много
366	6	никак не мог понять
367	5	сунул руку под мантию
368	5	в том что я
369	5	после того как его
370	5	понимаю о чем вы
371	5	о чем вы говорите
372	5	на следующее утро проснулся
373	5	рядом с ним на
374	5	да к тому же
375	5	отвел взгляд в сторону
376	5	упал на пол и
377	5	не кажется что он
378	5	все в порядке сказал
379	5	а может быть и
380	5	не мог понять что
381	5	что это значит спросил
382	5	так и не удалось
383	5	как раз вовремя чтобы
384	5	популяций и контроля над
385	5	и контроля над ними
386	5	не говоря уж о
387	5	в чем дело спросил
388	5	то на то на
389	5	что с ним случилось
390	5	не мог же он
391	5	сунул руку в карман
392	5	с таким видом точно
393	5	в конце концов они
394	5	только для того чтобы
395	5	он с самого начала
396	5	замер на месте и
397	5	его до сих пор
398	5	лишь для того чтобы
399	5	об и том же
400	5	при свете волшебной палочки
401	5	не для того чтобы
402	5	у него на груди
403	5	и не был уверен
404	5	волшебную палочку и увидел
405	5	у нее в руке
406	5	и чуть было не
407	5	во что бы то
408	5	бы то ни стало
409	5	и знал что ты
410	5	с мамой и папой
411	5	у него под ногами
412	5	с той минуты как
413	5	как никогда в жизни
414	5	по сравнению с тем
415	5	взгляд с на другого
416	5	поднялась на ноги и
417	5	так и не научился
418	5	в голову не приходило
419	5	не обращать внимания на
420	5	бормоча себе под нос
421	5	понял в чем дело
422	5	был совершенно уверен что
423	5	он понял что это
424	5	как ты думаешь что
425	5	но ему было все
426	5	подошла к нему и
427	5	что это у тебя
428	5	но на самом деле
429	5	с волшебной палочкой в
430	5	потому что они не
431	5	что вы что вы
432	5	свернули за угол и
433	5	направил волшебную палочку на
434	5	было не до того
435	5	он посмотрел на и
436	5	что мы будем делать
437	5	я так и думала
438	5	что ты здесь делаешь
439	5	мне очень жаль но
440	5	в пух и прах
441	5	в тот миг когда
442	5	никто ему не ответил
443	5	он был не в
444	5	ту ночь когда он
445	5	ни за что бы
446	5	бормотал себе под нос
447	5	у него в ушах
448	5	обернулся и увидел что
449	5	он держал в руках
450	5	на то место где
451	5	он сам не знал
452	5	сам не знал что
453	5	не отрывая глаз от
454	5	набрал в грудь воздуха
455	5	смотрел на него с
456	5	это для того чтобы
457	5	дело не в том
458	5	все дальше и дальше
459	5	не прошло и минут
460	5	прошло и минут как
461	5	на самом деле они
462	5	в том что она
463	5	так оно и было
464	5	не приходило в голову
465	5	после того как я
466	5	уж во всяком случае
467	5	он повернулся к и
468	5	но прежде чем он
469	5	лицо у него было
470	5	я не могу понять
471	5	и с такой силой
472	5	а это значит что
473	5	но он не мог
474	5	хотел бы я знать
475	5	в прошлом году я
476	5	и когда они вошли
477	5	не так ли да
478	5	у тебя все в
479	5	он вытащил из кармана
480	5	но беда в том
481	5	по уходу за метлой
482	5	и все такое но
483	5	ты как в порядке
484	5	когда они вместе с
485	5	сел на свое место
486	5	в этом году в
487	5	не поверил своим ушам
488	5	все кто был в
489	5	он сунул руку в
490	5	он поднялся на ноги
491	5	почему бы нам не
492	5	почему бы тебе не
493	5	это означает что он
494	5	не было ни в
495	5	и чуть не упал
496	5	улыбка сползла с лица
497	5	внимание было приковано к
498	5	понятия не имел что
499	5	вынул волшебную палочку и
500	5	даже не взглянув на
501	5	подошел к камину и
502	5	как и следовало ожидать
503	5	куда бы он ни
504	5	в голове у него
505	5	не был так счастлив
506	5	не знаю пожал плечами
507	5	ты не могла бы
508	5	он не сводил глаз
509	5	на лице у него
510	5	запустил руку в карман
511	5	а я то думал
512	5	так и не нашли
513	5	я так и знала
514	5	сел за стол и
515	5	у него из руки
516	5	а может и нет
517	5	спросил он не знаю
518	5	не в своем уме
519	5	что у тебя на
520	5	но в этот миг
521	5	с ног до головы
522	5	что вы здесь делаете
523	5	не было ничего кроме
524	5	не отрываясь смотрел на
525	5	ты хочешь чтобы я
526	5	думал о том что
527	5	в этот момент в
528	5	после того что произошло
529	5	не хотел чтобы его
530	5	почувствовал что у него
531	5	когда они с и
532	5	в этом не было
533	5	жду не дождусь когда
534	5	не кто иной как
535	5	друг на друга и
536	5	не обращал внимания на
537	5	бормотала себе под нос
538	5	во рту у него
539	5	никак не мог поверить
540	5	прежде чем успел ответить
541	5	не было и в
542	5	закрывая за собой дверь
543	5	и к тому времени
544	5	держать себя в руках
545	5	что с тобой случилось
546	5	было совершенно ясно что
547	5	ухода за магическими существами
548	5	она смотрела на него
549	5	ни разу не видел
550	5	с таким видом как
551	5	таким видом как будто
552	5	что у него в
553	5	в этом году мы
554	5	в жизни не видела
555	5	если бы я не
556	5	что по крайней мере
557	5	он подошел к двери
558	5	портреты прежних директоров и
559	5	стараясь не думать о
560	5	в дальнем конце коридора
561	5	я хочу чтобы вы
562	5	так же как в
563	5	известие о том что
564	5	по другую сторону от
565	5	вне себя от ярости
566	5	палочкой в руке и
567	5	с головы до пят
568	5	по мраморной лестнице и
569	5	напевал себе под нос
570	5	чувствовал себя так словно
571	5	в том что в
572	5	он до сих пор
573	5	понятия не имел о
574	5	у нее за спиной
575	5	за собой дверь и
576	5	по поводу того что
577	5	у них над головами
578	5	о том что не
579	5	произошло на самом деле
580	5	в горле у него
581	5	одни и те же
582	5	к тому же они
583	5	такой вид словно он
584	5	чуть с ума не
585	5	и тут он заметил
586	5	не двинулся с места
587	5	как бы между прочим
588	5	по обезвреживанию опасных существ
589	5	в жизни не было
590	5	поверить в то что
591	5	в по контролю волшебных
592	4	не имеет никакого отношения
593	4	уверен в том что
594	4	ни того ни другого
595	4	как я уже сказал
596	4	такой силой что он
597	4	дело не только в
598	4	улыбались и махали руками
599	4	такими же как у
600	4	и о том что
601	4	ему и в голову
602	4	все с той же
603	4	прижала ладонь ко рту
604	4	ему было не до
605	4	я знаю что ты
606	4	не смотри на меня
607	4	смотри на меня так
608	4	всего через часов после
609	4	то же время не
610	4	хотел бы чтобы ты
611	4	был уверен что в
612	4	и закрыл за собой
613	4	от темных искусств не
614	4	сказал с видом человека
615	4	от темных искусств и
616	4	в чем не виноват
617	4	что ж по крайней
618	4	ж по крайней мере
619	4	к себе тарелку с
620	4	не знаю не знаю
621	4	я ничего не знаю
622	4	и сразу понял что
623	4	и в следующий миг
624	4	магических популяций и контроля
625	4	набросил ее на себя
626	4	и направил палочку на
627	4	прижавшись друг к другу
628	4	я не знаю где
629	4	не знаю где он
630	4	он обернулся и увидел
631	4	он ничего не видел
632	4	ты ни в чем
633	4	главным образом потому что
634	4	судя по тому как
635	4	что с ними будет
636	4	не имел ни малейшего
637	4	не может жить спокойно
638	4	жить спокойно пока жив
639	4	миг ему показалось что
640	4	ты знаешь что делаешь
641	4	и внутри у него
642	4	что никогда в жизни
643	4	что он никогда больше
644	4	не мог себе представить
645	4	рядом с ней на
646	4	переводила взгляд с на
647	4	в первый раз за
648	4	ни словом не обмолвился
649	4	в первый раз с
650	4	если бы не он
651	4	у него никогда не
652	4	твои мама и папа
653	4	схватила его за руку
654	4	на конце волшебной палочки
655	4	последний же враг истребится
656	4	руку с волшебной палочкой
657	4	она то и дело
658	4	у него в мозгу
659	4	и схватила за руку
660	4	говоря уже о том
661	4	уже о том что
662	4	не было видно и
663	4	взмахнул волшебной палочкой и
664	4	так и не смогли
665	4	что верно то верно
666	4	в то время когда
667	4	у было такое чувство
668	4	нацелил волшебную палочку на
669	4	сравнению с тем что
670	4	все было на самом
671	4	даже не знаю с
672	4	ты так и не
673	4	международного статута о секретности
674	4	в том что был
675	4	сомнений в том что
676	4	в том что с
677	4	совсем не то что
678	4	что в самом деле
679	4	я даже не знаю
680	4	то же самое что
681	4	вы не думаете что
682	4	кто за то чтобы
683	4	захлопнул за ними дверь
684	4	взял себя в руки
685	4	в руках он держал
686	4	а что это такое
687	4	никто из вас не
688	4	не сводила глаз с
689	4	через всю комнату и
690	4	на полу рядом с
691	4	он просто не мог
692	4	по крайней мере он
693	4	из поколения в поколение
694	4	ни в какое сравнение
695	4	не мог понять почему
696	4	он знал что это
697	4	что до сих пор
698	4	бы он ни был
699	4	не смей так разговаривать
700	4	направив волшебную палочку на
701	4	он уже не мог
702	4	и направил ее на
703	4	так же как он
704	4	мне надо поговорить с
705	4	будто он только что
706	4	закрыв за собой дверь
707	4	он все еще сжимал
708	4	ты имеешь в виду
709	4	потому что никто не
710	4	вскоре после того как
711	4	не будем об этом
712	4	него не было ни
713	4	встал на ноги и
714	4	с глазу на глаз
715	4	в лучах заходящего солнца
716	4	совсем ни к чему
717	4	и с ужасом увидел
718	4	с ужасом увидел что
719	4	от пола до потолка
720	4	и понятия не имел
721	4	ему пришло в голову
722	4	по крайней мере на
723	4	он поднял волшебную палочку
724	4	о чем ты говоришь
725	4	и вышел из комнаты
726	4	с того самого дня
727	4	теперь все знают что
728	4	знал что ты придешь
729	4	но я так не
730	4	защитой от темных искусств
731	4	у него все еще
732	4	так и думала что
733	4	он понизил голос и
734	4	и судя по всему
735	4	оглянулся и увидел что
736	4	и упал на пол
737	4	только после того как
738	4	засунув руки в карманы
739	4	взад и вперед по
740	4	ни во что не
741	4	я все равно не
742	4	они думают что я
743	4	в конце концов мы
744	4	это у него не
745	4	на него сверху вниз
746	4	взять себя в руки
747	4	вы не знаете где
748	4	что с тобой спросил
749	4	он знает что я
750	4	не на жизнь а
751	4	на жизнь а на
752	4	жизнь а на смерть
753	4	он покачал головой и
754	4	там никого не было
755	4	у нас нет времени
756	4	я знаю что вы
757	4	в общей гостиной и
758	4	посмотрел на него с
759	4	на него и на
760	4	волшебники и волшебницы в
761	4	не пришло в голову
762	4	здесь никого не было
763	4	не мог поверить что
764	4	сразу понял что это
765	4	сделал глубокий вдох и
766	4	но не успели они
767	4	по мраморной лестнице в
768	4	подняться на ноги но
769	4	и как раз вовремя
770	4	я не знаю как
771	4	потому что я не
772	4	не знал что делать
773	4	я знаю кто ты
774	4	она изо всех сил
775	4	глаза были устремлены на
776	4	вот и все он
777	4	что с ним все
778	4	повернулась к нему спиной
779	4	эти слова вырвались у
780	4	хотя он знал что
781	4	что речь идет о
782	4	что у меня есть
783	4	он отдал бы все
784	4	у него помимо воли
785	4	глядя на него с
786	4	не было никого кроме
787	4	я уверен что это
788	4	не поверил своим глазам
789	4	вид что ничего не
790	4	и он понял что
791	4	глаза и увидел что
792	4	у всех на глазах
793	4	ты хочешь сказать что
794	4	о том что ты
795	4	ни слова из того
796	4	слова из того что
797	4	и вид у нее
798	4	перевел взгляд с нее
799	4	взгляд с нее на
800	4	он так громко что
801	4	я до сих пор
802	4	на него с такой
803	4	открыл глаза и увидел
804	4	как раз в эту
805	4	раз в эту минуту
806	4	распахнулась и в нее
807	4	я знаю о чем
808	4	если ты не хочешь
809	4	я и не знал
810	4	никогда не слышал о
811	4	так же быстро как
812	4	слова о том что
813	4	к волшебной палочке но
814	4	после того как в
815	4	и в любом случае
816	4	после того как все
817	4	в прошлом году и
818	4	голос у него был
819	4	за то что она
820	4	почему бы и нет
821	4	тебя все в порядке
822	4	с ним лицом к
823	4	на этот раз ты
824	4	открыл глаза он лежал
825	4	но в этот момент
826	4	но я не понимаю
827	4	что правда то правда
828	4	ни на что не
829	4	после того как она
830	4	даже не обратил внимания
831	4	приложив палец к губам
832	4	но я думаю что
833	4	не говорите мне что
834	4	с такой яростью что
835	4	понятия не имею ответил
836	4	когда они проходили мимо
837	4	на самом верху башни
838	4	за магическими существами а
839	4	или что-то в этом
840	4	за волшебной палочкой но
841	4	не говори мне что
842	4	я здесь для того
843	4	раз за все время
844	4	не проронил ни слова
845	4	не мог думать ни
846	4	мог думать ни о
847	4	думать ни о чем
848	4	когда они подошли к
849	4	было ни в глазу
850	4	что он все еще
851	4	вид у всех был
852	4	по стороны от него
853	4	спрятав лицо в ладони
854	4	только и делает что
855	4	и он тут же
856	4	не тут то было
857	4	не осталось и следа
858	4	не отдавая себе отчета
859	4	кармана волшебную палочку и
860	4	закрыть за собой дверь
861	4	да что с тобой
862	4	и они вместе с
863	4	в тот угол где
864	4	в кресло рядом с
865	4	в чулан под лестницей
866	4	что ни в чем
867	4	у него над ухом
868	4	они то и дело
869	4	изо всех сил пытался
870	4	пришла в голову мысль
871	4	на самом то деле
872	4	но вид у него
873	4	как бы это сказать
874	4	ты прекрасно знаешь что
875	4	вышли из замка и
876	4	все в порядке да
877	4	я же тебе говорил
878	4	ни на йоту не
879	4	они так и не
880	4	все были уверены что
881	4	и в прошлый раз
882	4	по каменным ступеням в
883	4	было подумать что он
884	4	на следующий день после
885	4	в голос воскликнули и
886	4	я сам видел как
887	4	ты не мог бы
888	4	и скрылся из виду
889	4	что у тебя с
890	4	но в этом году
891	4	что-то себе под нос
892	4	в руке волшебную палочку
893	4	достал волшебную палочку и
894	4	в том же духе
895	4	и уж тем более
896	4	сидели за столом и
897	4	я не уверена что
898	4	не видел и не
899	4	и поднял глаза на
900	4	в этот миг к
901	4	на поле для квиддича
902	4	и увидел перед собой
903	4	я не хотел бы
904	4	на него во все
905	4	него во все глаза
906	4	не веря своим глазам
907	4	в том что они
908	4	тех пор пока он
909	4	о том что ему
910	4	он не смог бы
911	4	вам не кажется что
912	4	я хотел бы чтобы
913	4	никогда не был в
914	4	у нее был такой
915	4	но я знаю что
916	4	у него на коленях
917	4	все в порядке спросил
918	4	прошло минут прежде чем
919	4	о том что происходит
920	4	было видно что он
921	4	было все равно что
922	4	в руках у него
923	4	это не имеет никакого
924	4	в комнате не было
925	4	на дальнем конце стола
926	4	и на сей раз
927	4	он был весь в
928	4	внимания на то что
929	4	что же это за
930	4	что же это такое
931	4	с вами все в
932	4	вами все в порядке
933	4	ты в самом деле
934	4	я не знать как
935	4	не веря своим ушам
936	4	что-то бормотала себе под
937	4	то вправо то влево
938	4	ни разу еще не
939	4	только потому что ты
940	4	занятия по уходу за
941	4	и стало ясно что
942	4	было и в помине
943	4	под самым носом у
944	4	по-прежнему не глядя на
945	4	потому что у него
946	4	раз в тот момент
947	4	волшебных фокусов и трюков
948	4	по крайней мере не
949	4	его за то что
950	4	у него в груди
951	4	тому времени как они
952	4	как в тот раз
953	4	я хочу сказать что
954	4	старался не смотреть на
955	4	вы не имеете права
956	4	до сих пор и
957	4	ты что здесь делаешь
958	4	к тому же я
959	4	он перевел взгляд на
960	4	ничего не было видно
961	4	ведущей к спальням мальчиков
962	4	деревьев в запретном лесу
963	4	себя так как будто
964	4	в руках у нее
965	4	о том что на
966	4	открыл было рот чтобы
967	4	неужели ты не понимаешь
968	4	в прошлом году ты
969	4	о том как он
970	4	не могу понять почему
971	4	так всегда и стой
972	4	все еще сжимая в
973	4	он все еще был
974	4	ни разу в жизни
975	4	он не знал как
976	4	я понимаю что ты
977	4	как будто не слышал
978	4	когда они поднимались по
979	4	и стал смотреть на
980	4	я видел как это
981	4	просто для того чтобы
982	4	все смотрели на него
983	4	ты что тут делаешь
984	4	что у него нет
985	4	играли в волшебные шахматы
986	4	во внутренний карман куртки
987	4	бы там ни говорил
988	4	он не был так
989	4	к тому о чем
990	4	не в этом дело
991	4	не мог избавиться от
992	4	крепко сжимая в руке
993	4	его план не работает
994	4	еще никогда не видел
995	4	к нему в кабинет
996	4	привлечь на свою сторону
997	4	о том что у
998	4	был уверен что не
999	4	что с ним такое
1000	4	к себе в кабинет
